Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building
2448 W Stuart Ave,93711,Aug-20,"750,000",3,2.75,"2,953",TRUE,0.48 a,53
1389 E Brandywine Ln,93720,Aug-20,"620,000",3,4,"2,426",TRUE,0.66 a,55
8484 N Ann Ave,93720,Aug-20,"456,000",4,3,"2,290",TRUE,"9,583",16
214 W San Jose Ave,93704,Aug-20,"330,000",3,3,"2,052",TRUE,0.26 a,61
1325 E Via Roma Dr,93730,Aug-20,"699,000",5,3,"3,414",TRUE,"6,899",2021
6567 E Platt Ave,93727,Aug-20,"293,000",5,2,"1,830",TRUE,"6,298",17
8292 N Ann Ave,93720,Aug-20,"615,500",4,3,"3,430",TRUE,"8,777",17
2035 E Palo Alto Ave,93710,Aug-20,"325,000",3,1.75,"1,834",TRUE,"9,178",43
2572 E Portland Ave,93720,Aug-20,"350,000",3,2,"1,858",TRUE,"5,998",21
214 W San Jose Ave,93704,Aug-20,"330,000",3,3,"2,052",TRUE,0.26 a,61
1151 S Chestnut Ave #239,93702,Aug-20,"90,000",2,2,"1,013",TRUE,"1,219",2021
2031 E Cromwell Ave,93720,Aug-20,"340,000",3,3,"1,717",TRUE,"6,534",31
1151 S Chestnut Ave #116,93702,ug-20,"70,000",1,1,590,FALSE,653,2021
6757 N Constance Ave,93722,ug-20,"280,000",3,2,"1,474",TRUE,"4,281",27
6040 N Stockdale Dr,93722,ug-20,"375,000",4,2,"2,064",TRUE,"8,049",2021
6335 N Spalding Ave,93710,ug-20,"300,000",4,2,"1,796",TRUE,"6,098",49
430 N Claremont Ave,93727,ug-20,"287,000",4,2,"1,993",TRUE,"6,599",33
8632 N Sierra Vista Ave,93720,ug-20,"337,250",3,2,"1,476",TRUE,"6,969",27
5849 W Parr Ave,93722,ug-20,"300,500",3,2.5,"1,753",TRUE,"5,549",5
1221 N Peach Ave #226,93727,ug-20,"75,000",2,1,850,TRUE,-1,2021
3248 N Hanover Ave,93722,ug-20,"255,000",3,1.75,"1,479",TRUE,"6,098",31
1742 E Shadow Glen Dr,93730,ug-20,"800,000",4,3,"3,400",TRUE,-1,2021
636 E University Ave,93704,ug-20,"333,000",3,2,"1,493",TRUE,"8,041",97
3495 E Pine Ave,93703,ug-20,"215,000",2,1,"1,100",TRUE,"8,158",79
1537 N Safford Ave,93728,ug-20,"235,000",2,1,"1,278",TRUE,"6,651",73
4734 W Menlo Ave,93722,ug-20,"267,000",3,2,"1,390",TRUE,"5,998",20
4661 E Madison Ave,93702,ug-20,"169,000",3,1,"1,012",TRUE,"6,098",81
3326 N Fordham Ave,93727,ug-20,"238,000",3,2,"1,000",TRUE,"6,098",50
666 E Magill Ave,93710,ug-20,"225,000",2,2,"1,315",TRUE,"3,480",2021
958 E Cornell Ave,93704,ug-20,"215,000",3,1,"1,067",TRUE,"7,801",68
2674 E Skyview Ave,93720,ug-20,"435,000",5,3,"2,674",TRUE,"7,021",19
2655 W Barstow Ave,93711,ug-20,"485,000",5,5,"3,654",TRUE,0.31 a,19
6344 N Palm Ave,93704,ug-20,"177,000",2,2,"1,152",TRUE,"1,298",2021
4657 E Hamilton Ave,93702,ug-20,"184,000",3,1,938,TRUE,"7,196",60
4778 E Illinois Ave,93702,"4, 2020","240,000",3,1,"1,257",TRUE,"9,000",79
6619 N Durant Ave,93711,"4, 2020","360,000",3,2,"2,005",TRUE,"9,513",40
1103 W Terrace Ave,93705,"4, 2020","145,000",2,1,889,TRUE,"6,599",68
4949 N Thorne Ave,93704,"4, 2020","700,000",4,3,"3,606",TRUE,0.88 a,42
6467 N Lead Ave,93711,"4, 2020","475,000",3,2,"2,391",TRUE,0.32 a,42
7497 E Cortland Ave,93737,"4, 2020","340,000",4,2.75,"1,900",TRUE,"6,359",8
9215 N Stoneridge Ln,93720,"3, 2020","425,000",4,2,"2,138",TRUE,"7,840",2021
1544 W Scott Ave,93711,"3, 2020","460,000",3,2,"2,432",TRUE,0.33 a,62
918 E Hampton Way,93704,"3, 2020","349,950",3,2,"2,106",TRUE,0.29 a,63
5779 W Bluff Ave,93722,"3, 2020","420,500",4,4,"2,654",TRUE,"5,998",16
2737 E Fedora Ave,93726,"3, 2020","227,000",3,2,"1,663",TRUE,"8,049",64
3550 N Duke Ave #18,93727,"3, 2020","32,000",2,2,"1,344",TRUE,-1,41
3807 E Indianapolis Ave,93726,"3, 2020","242,000",3,1.75,"1,328",TRUE,"7,039",60
3703 W Bullard Ave,93711,"3, 2020","145,000",2,2,"1,017",TRUE,"1,045",2021
4734 N Teilman Ave,93705,"2, 2020","283,000",3,2,"1,508",TRUE,"10,798",59
6739 E Floradora Ave,93727,"2, 2020","505,000",3,2,"1,956",TRUE,1.14 a,7
6068 N Gentry Ave,93711,"2, 2020","315,000",3,2,"1,747",TRUE,"9,690",39
2126 E Makenna Dr,93730,"2, 2020","350,000",2,2,"1,141",TRUE,"4,212",2021
4482 N Barton Ave,93726,"2, 2020","265,000",3,1.75,"1,456",TRUE,"6,490",53
2890 Huntington Blvd #122,93721,"2, 2020","236,000",3,3,"1,875",TRUE,"1,803",2021
758 N Bond St,93702,"1, 2020","210,000",5,2,"1,730",TRUE,0.31 a,95
4477 N Winery Ave,93726,"1, 2020","250,000",3,1.75,"1,350",TRUE,"6,534",53
3897 N Sequoia Ave,93705,"1, 2020","225,000",3,1,"1,074",TRUE,"6,507",65
6056 W Locust Ave,93722,"1, 2020","340,000",3,2,"1,664",TRUE,"8,751",28
4402 N Wishon Ave,93704," 31, 2020","640,000",3,3,"2,024",TRUE,0.41 a,2021
6424 E Inyo St,93727," 31, 2020","270,000",3,2,"1,417",TRUE,"6,499",22
9250 S Elm Ave,93706," 31, 2020","240,000",3,1,"2,376",TRUE,0.98 a,60
4628 E Terrace Ave,93703," 31, 2020","215,000",2,2,"1,045",TRUE,0.30 a,72
6534 N Dearing Ave,93710," 31, 2020","353,500",4,2,"1,951",TRUE,"7,235",46
3170 W Bellaire Way,93722," 31, 2020","232,000",3,2,"1,308",TRUE,"7,000",54
4736 W Sussex Way,93722," 31, 2020","275,000",4,2,"1,894",TRUE,"6,298",29
479 W Spruce Ave,93650," 28, 2020","170,000",5,2,"1,368",TRUE,"6,250",31
7477 N Monte Ave,93711," 28, 2020","660,000",4,3,"3,000",TRUE,0.30 a,32
843 E Dartmouth Dr,93730," 28, 2020","590,000",4,3,"2,995",TRUE,"10,018",2021
11072 N Valley Dr,93730," 28, 2020","910,000",3,3,"2,902",TRUE,"9,517",2021
6598 N 3rd St,93710," 28, 2020","170,000",3,1.5,"1,176",TRUE,797,2021
3734 W Vincent Ln,93711," 28, 2020","315,000",3,2.75,"1,890",TRUE,"4,369",2021
1285 W Sierra Ave,93711," 28, 2020","335,000",3,2,"2,031",TRUE,0.36 a,49
1533 E Bremer Ave,93728," 28, 2020","224,900",2,1.5,"1,170",TRUE,"6,490",85
8623 N Richelle Ave,93720," 28, 2020","445,000",4,3,"2,300",TRUE,"6,780",16
