Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building
922 E Kaviland Ave,93706,Jul-20,"165,000",2,1,876,TRUE,"7,126",69
1175 E Lexington Ave,93720,Jul-20,"365,000",4,1.75,"2,169",TRUE,"5,998",30
10864 N Braden Way,93730,Jul-20,"360,000",3,2,"1,308",TRUE,"4,098",2021
175 W Omaha Ave,93711,Jul-20,"321,000",3,2,"1,430",TRUE,"5,998",40
8735 N Cedar Ave #138,93720,Jul-20,"295,000",3,2,"1,415",TRUE,"4,020",2021
1512 E Cornell Ave,93704,Jul-20,"225,000",3,2,"1,552",TRUE,"6,351",73
3704 Kenmore Dr N,93703,Jul-20,"204,000",2,1,"1,032",TRUE,"6,398",69
5207 W Warner Ave,93722,Jul-20,"229,000",2,1.75,"1,039",TRUE,"4,199",29
5129 W Roberts Ave,93722,Jul-20,"385,000",5,3,"2,577",TRUE,0.25 a,19
601 N Hughes Ave,93728,Jul-20,"146,000",1,1,772,FALSE,0.83 a,73
1629 N Channing Ave,93705,Jul-20,"187,500",2,1.75,"1,564",TRUE,"10,441",85
1036 W Vassar Ave,93705,Jul-20,"225,000",2,1.75,"1,319",TRUE,"7,187",70
539 W Scott Ave,93704,Jul-20,"230,000",2,2,"1,622",TRUE,"2,861",2021
4786 E Madison Ave,93702,Jul-20,"225,000",2,1,"1,160",TRUE,"8,058",73
4512 W Cornell Ave,93722,Jul-20,"335,000",6,3,"2,432",TRUE,"7,148",21
7680 N Gregory Ave,93722,Jul-20,"378,000",4,2.75,"2,228",TRUE,0.32 a,24
1430 W Escalon Ave,93711,Jul-20,"464,950",4,2.5,"3,008",TRUE,0.30 a,50
7748 N Woodrow Ave,93720,Jul-20,"375,000",4,2,"1,969",TRUE,"7,000",32
2396 N Cecelia Ave,93722,Jul-20,"255,000",3,2,"1,510",TRUE,"5,131",30
545 W Andrews Ave,93705,Jul-20,"232,000",3,1,"1,211",TRUE,"6,899",71
545 W Andrews Ave,93705,Jul-20,"232,000",3,1,"1,211",TRUE,"6,899",71
4512 W Cornell Ave,93722,Jul-20,"335,000",6,3,"2,432",TRUE,"7,148",21
2890 Huntington Blvd #167,93721,Jul-20,"195,000",2,3,"1,623",TRUE,"1,089",2021
4786 E Madison Ave,93702,Jul-20,"225,000",2,1,"1,160",TRUE,"8,058",73
3770 W Barstow Ave #146,93711,Jul-20,"215,000",3,1.75,"1,427",TRUE,"1,886",2021
2396 N Cecelia Ave,93722,Jul-20,"255,000",3,2,"1,510",TRUE,"5,131",30
7748 N Woodrow Ave,93720,Jul-20,"375,000",4,2,"1,969",TRUE,"7,000",32
336 E Alluvial Ave #156,93720,Jul-20,"30,000",2,2,"1,056",TRUE,-1,39
4027 E El Monte Way,93702,Jul-20,"160,000",3,1.75,"1,224",TRUE,"5,000",42
2727 N McArthur Ave,93727,Jul-20,"450,000",3,3,"2,194",TRUE,"7,864",0
8739 N 7th St,93720,Jul-20,"540,000",4,2.75,"2,995",TRUE,0.26 a,33
2439 W Scott Ave,93711,Jul-20,"325,000",3,2,"1,734",TRUE,0.55 a,60
3925 E Indianapolis Ave,93726,Jul-20,"268,000",4,2.75,"1,830",TRUE,"6,599",60
5649 W Los Altos Ave,93722,Jul-20,"340,000",3,2,"1,867",TRUE,"6,599",29
6715 E Townsend Ave,93727,Jul-20,"312,000",4,2,"1,800",TRUE,"8,023",7
1110 N Palm Ave,93728,Jul-20,"195,000",2,1.5,972,TRUE,"5,000",94
346 S Dearing Ave,93702,Jul-20,"150,000",2,1,708,TRUE,"4,700",75
810 E Country View Cir,93730,Jul-20,"675,000",4,3,"2,527",TRUE,"10,558",2021
3334 N Harrison Ave,93704,Jul-20,"270,000",4,2.5,"1,983",TRUE,"7,239",67
1534 E Michigan Ave,93704,Jul-20,"151,000",2,1,560,TRUE,"7,875",72
1323 E Via Estrella Dr,93730,Jul-20,"450,000",3,2,"1,802",TRUE,"5,248",2021
8307 E Sanders Ct,93737,Jul-20,"490,000",4,3,"2,493",TRUE,0.41 a,48
7090 N Thorne Ave,93650,Jul-20,"161,000",3,1,"1,136",TRUE,"7,840",64
6361 E Platt Ave,93727,Jul-20,"290,000",4,2,"1,700",TRUE,"6,398",14
4211 N Marks Ave,93722,Jul-20,"240,000",3,1.75,"1,260",TRUE,"9,718",50
1522 A St,93706,Jul-20,"80,000",4,3,"1,352",TRUE,0.26 a,90
1273 E Mountain View Ave,93725,Jul-20,"405,000",7,6,"3,712",TRUE,4.77 a,45
7283 N Geraldine Ave,93711,Jul-20,"531,000",4,3,"2,680",TRUE,"10,454",30
6195 E Zoie Dr,93727,Jul-20,"324,500",3,2,"1,623",TRUE,"3,404",0
6195 E Zoie Dr,93727,Jul-20,"324,500",3,2,"1,623",TRUE,"3,404",0
7283 N Geraldine Ave,93711,Jul-20,"531,000",4,3,"2,680",TRUE,"10,454",30
1273 E Mountain View Ave,93725,Jul-20,"405,000",7,6,"3,712",TRUE,4.77 a,45
4993 W Spruce Ave,93722,Jul-20,"420,000",4,3,"3,006",TRUE,"9,021",23
4661 E Grant Ave,93702,Jul-20,"198,000",2,1,973,TRUE,"6,250",91
754 B St,93706,Jul-20,"205,000",4,2,"1,440",TRUE,"7,501",16
2147 W Beechwood Ave,93711,Jul-20,"377,500",3,2,"1,813",TRUE,"6,969",25
811 S McArthur Ave,93727,Jul-20,"395,000",4,4,"2,454",TRUE,"7,440",4
8416 N Sharon Ave,93720,Jul-20,"330,000",3,2.5,"1,637",TRUE,"5,183",29
2719 N Selland Ave,93722,Jul-20,"235,000",3,1.75,"1,356",TRUE,"3,955",36
6105 E Dayton Ave,93727,Jul-20,"325,000",3,2,"1,665",TRUE,"6,534",13
2469 S Sierra Vista Ave,93725,Jul-20,"105,000",2,1,859,TRUE,"5,924",71
6142 W Concordia Dr,93722,Jul-20,"310,000",3,2.5,"1,753",TRUE,"3,201",2021
9333 N Paula Ave,93720,Jul-20,"420,000",5,3,"2,400",TRUE,"7,148",18
2826 E Clay Ave,93701,Jul-20,"125,000",2,1,624,TRUE,"7,901",73
5496 W Calimyrna Ave,93722,Jul-20,"340,000",4,2,"2,017",TRUE,0.32 a,18
1325 E Decatur Ave,93720,Jul-20,"409,000",3,2,"2,365",TRUE,"9,086",32
4691 W Oswego Ave,93722,Jul-20,"325,000",3,2,"1,653",TRUE,0.35 a,15
2837 N 2nd St,93703,Jul-20,"193,000",2,1,"1,328",TRUE,"6,398",66
7786 N Meridian Ave,93720,Jul-20,"325,000",3,3,"1,624",TRUE,"6,599",30
241 W Minarets Ave,93650,Jul-20,-1,5,1.75,"1,443",TRUE,-1,33
3770 W Barstow Ave #145,93711,Jul-20,"201,000",3,2,"1,427",TRUE,"1,886",2021
2062 S 8th St,93702,Jul-20,"225,000",4,2.5,"1,943",TRUE,"8,581",14
6038 E Fedora Ave,93727,Jul-20,"310,000",2,1.5,"1,450",TRUE,"3,789",1
1436 E Brandywine Ln,93720,Jul-20,"1,500,000",3,3,"2,467",TRUE,0.64 a,53
1275 W San Ramon Ave,93711,Jul-20,"485,000",3,1.5,"2,138",TRUE,0.32 a,60
236 E Cortland Ave,93704,Jul-20,"205,000",3,1,"1,304",TRUE,"6,764",68
1201 W Escalon Ave,93711,Jul-20,"190,000",2,1,"1,057",TRUE,"7,405",42
236 E Cortland Ave,93704,Jul-20,"205,000",3,1,"1,304",TRUE,"6,764",68
1470 N Wilson Ave,93728,Jul-20,"175,000",2,1,"1,008",TRUE,"5,301",98
2436 W Fedora Ave,93705,Jul-20,"215,000",3,2,"1,144",TRUE,"6,098",61
3055 E Home Ave,93703,Jul-20,"180,000",3,1,"1,168",TRUE,"6,655",78
2702 E Willis Ave,93726,Jul-20,"235,000",3,2,"1,521",TRUE,"6,059",64
410 E Princeton Ave,93704,Jul-20,"335,000",3,2,"1,644",TRUE,"6,969",81
2857 E El Paso Ave,93720,Jul-20,"355,000",3,1.75,"1,613",TRUE,"6,912",14
6272 N Lodi Ave,93722,Jul-20,"280,000",3,2,"1,664",TRUE,"6,721",31
54 E Fountain Way,93704,Jul-20,"232,500",2,1,"1,045",TRUE,"7,501",78
1915 W Santa Ana Ave,93705,Jul-20,"245,000",2,2,"1,529",TRUE,"3,240",2021
2792 N Sophie Dr,93727,Jul-20,"303,000",3,3,"1,641",TRUE,"2,552",2021
8168 N Matus Ave,93720,Jul-20,"375,000",4,2,"2,165",TRUE,"6,298",20
1536 N Calaveras St,93728,Jul-20,"140,000",2,1,744,TRUE,"4,800",96
6604 E Orleans Ave,93727,Jul-20,"331,000",4,2.75,"1,905",TRUE,"6,599",7
3304 E Floradora Ave,93703,Jul-20,"175,000",2,1,747,TRUE,"6,011",79
7501 E Garland Ave,93737,Jul-20,"442,000",4,3,"2,835",TRUE,"8,102",3
8585 N Richelle Ave,93720,Jul-20,"445,000",4,2,"2,290",TRUE,"6,777",15
2028 W Via Tivoli,93711,Jul-20,"409,000",3,2,"1,886",TRUE,"5,227",2021
6167 W Scott Ave,93723,Jul-20,"289,000",4,2,"1,860",TRUE,"6,298",12
1531 E Webster Ave,93728,Jul-20,"345,000",5,5,"2,907",TRUE,"8,250",82
3508 E Norwich Ave,93726,Jul-20,"250,000",3,1.75,"1,622",TRUE,"7,370",61
387 S Renn Ave,93727,Jul-20,"290,000",3,2,"1,691",TRUE,"7,039",11
5489 W Athens Ave,93722,Jul-20,"402,500",5,3,"2,401",TRUE,"10,454",26
3023 N Selland Ave,93722,Jul-20,"220,000",3,1.75,"1,108",TRUE,"5,505",35
2399 S Justin Ave,93725,Jul-20,"339,000",6,4,"2,586",TRUE,"6,926",0
2153 W Via Delfini,93711,Jul-20,"462,500",3,2,"2,373",TRUE,"6,098",2021
5557 E Dakota Ave,93727,Jul-20,"95,000",3,1,"1,056",TRUE,0.30 a,65
934 S Sunnyside Ave,93727,Jul-20,"337,000",4,2,"1,903",TRUE,0.28 a,59
645 E Minarets Ave,93720,Jul-20,"320,000",3,1.75,"1,747",TRUE,"7,801",45
5560 E Burns Ave,93727,Jul-20,"317,500",5,2,"1,773",TRUE,"6,141",3
5536 E Erin Ave,93727,Jul-20,"308,000",4,3,"2,008",TRUE,"5,998",12
849 E Brighton Ln,93720,Jul-20,"397,000",3,2.75,"1,799",TRUE,"7,405",2021
6509 E Braly Ave,93727,Jul-20,"415,000",4,2.5,"2,889",TRUE,"10,005",12
5543 N Polk Ave,93722,Jul-20,"242,000",3,2,"1,248",TRUE,"6,499",25
2558 W Bluff Ave,93711,Jul-20,"675,000",3,3.5,"3,634",TRUE,0.45 a,13
934 S Sunnyside Ave,93727,Jul-20,"337,000",4,2,"1,903",TRUE,0.28 a,59
1703 E Shadow Creek Dr,93730,Jul-20,"767,000",4,3,"3,275",TRUE,0.28 a,2021
474 E Alluvial Ave #166,93720,Jul-20,"223,000",2,2,"1,015",TRUE,"4,051",2021
3833 E Pico Ave,93726,Jul-20,"246,000",3,2,"1,250",TRUE,"6,930",61
5247 N Callisch Ave,93710,Jul-20,"280,000",3,1.75,"1,636",TRUE,"6,616",59
345 N Humboldt Ave,93706,Jul-20,"155,000",2,1,"1,071",TRUE,"6,350",73
4963 N Holt Ave #204,93705,Jul-20,"62,000",2,1,840,TRUE,801,2021
2045 N Farris Ave,93704,Jul-20,"330,000",4,2,"2,300",TRUE,"7,405",78
1206 E Fedora Ave,93704,Jul-20,-1,2,1,774,TRUE,-1,73
8060 N Orchard St,93720,Jul-20,"315,000",4,2.25,"2,097",TRUE,"5,967",36
4986 E Tulare Ave,93727,Jul-20,-1,1,1,876,FALSE,-1,74
4940 E Tulare Ave,93727,Jul-20,-1,3,1.75,"1,016",TRUE,-1,47
718 S Park Circle Dr,93727,Jul-20,-1,3,1.75,"2,901",TRUE,-1,65
7643 N Meridian Ave,93720,Jul-20,"373,000",3,2,"1,898",TRUE,"7,379",29
4504 N Valentine Ave #115,93722,Jul-20,"135,000",2,1,916,TRUE,888,2021
2584 E El Paso Ave,93720,Jul-20,"355,000",3,2,"1,767",TRUE,"5,998",21
1352 W Wrenwood Ave,93711,Jul-20,"445,000",3,1.75,"2,115",TRUE,0.32 a,65
849 S 9th St,93702,Jul-20,"105,000",2,1,760,TRUE,"7,583",96
3161 N Burl Ave,93727,Jul-20,"435,000",4,3,"2,640",TRUE,"8,400",13
3670 W Fedora Ave,93722,Jul-20,"250,000",3,2,"1,340",TRUE,"6,534",30
3458 E Indianapolis Ave,93726,Jul-20,"265,000",3,2,"1,333",TRUE,"6,708",61
3366 W Shields Ave,93722,Jul-20,"375,500",10,10,"4,328",TRUE,"10,890",30
3458 E Indianapolis Ave,93726,Jul-20,"265,000",3,2,"1,333",TRUE,"6,708",61
3366 W Shields Ave,93722,Jul-20,"375,500",10,10,"4,328",TRUE,"10,890",30
1402 E Via Dorata Way,93730,Jul-20,"365,000",3,3,"1,641",TRUE,"2,354",2021
5139 N Sequoia Ave,93711,Jul-20,"770,000",2,4.25,"3,664",TRUE,0.78 a,61
5349 N Sequoia Ave,93711,Jul-20,"770,000",4,4,"3,967",TRUE,0.53 a,47
172 W Roberts Ave,93704,Jul-20,"230,000",3,1.75,"1,066",TRUE,"9,286",64
7215 N Teilman Ave,93711,Jul-20,"430,000",4,3,"2,556",TRUE,"10,890",41
6570 N Sierra Vista Ave,93710,Jul-20,"270,000",3,2,"1,834",TRUE,"9,888",46
775 E Minarets Ave,93720,Jul-20,"340,000",4,1.75,"1,785",TRUE,"7,405",45
4441 E Pine Ave,93703,Jul-20,"219,000",3,2,"1,128",TRUE,"7,801",74
1820 S Claremont Ave,93727,Jul-20,"524,000",3,3,"3,131",TRUE,0.50 a,56
1307 N Applegate Ave,93737,Jul-20,"920,000",5,5,"3,951",TRUE,-1,2021
1284 E Barstow Ave,93710,Jul-20,"275,000",3,2,"1,652",TRUE,"10,750",57
2772 E Pryor Dr,93720,Jul-20,"405,000",3,2.25,"2,005",TRUE,"6,868",18
1516 E Vartikian Ave,93710,Jul-20,"270,000",4,1.75,"1,796",TRUE,"6,198",50
1102 E Goshen Ave,93720,Jul-20,"345,000",4,2.5,"1,704",TRUE,"5,301",31
3853 Arden Dr S,93703,Jul-20,"211,000",3,1,"1,328",TRUE,"6,599",69
5145 E Lane Ave #251,93727,Jul-20,"75,000",1,1,652,FALSE,609,35
5843 E Booker Ave,93727,Jul-20,"337,000",3,2.5,"2,029",TRUE,"6,960",9
1151 S Chestnut Ave #238,93702,Jul-20,"85,000",2,2,"1,013",TRUE,"1,224",2021
5420 E Euclid Ave,93727,Jul-20,"300,000",3,2,"1,900",TRUE,0.34 a,60
6676 E Cetti Ave,93727,Jul-20,"335,000",3,2,"2,129",TRUE,"6,324",13
5205 W Lamona Ave,93722,Jul-20,"483,000",3,3,"2,256",TRUE,2.13 a,42
1750 W Santa Ana Ave #102,93705,Jul-20,"211,000",3,1.75,"1,520",TRUE,"3,240",2021
3115 E Thomas Ave,93702,Jul-20,"145,000",2,1,656,TRUE,"3,223",109
7064 E Ramona Way,93737,Jul-20,"410,000",6,3,"3,016",TRUE,"7,148",10
4918 E Sooner Dr,93727,Jul-20,"236,000",3,1.75,"1,294",TRUE,"6,298",59
2656 N Cecelia Ave,93722,Jul-20,"274,000",3,2,"1,664",TRUE,"6,359",20
993 N Farris Ave,93728,Jul-20,"268,000",3,1.5,"1,475",TRUE,"4,399",85
3638 N Harrison Ave,93704,Jul-20,"210,000",3,1.5,"1,171",TRUE,"7,967",69
1452 E Fremont Ave,93710,Jul-20,"265,000",4,1.75,"1,355",TRUE,"7,000",49
40 E San Joaquin St,93706,Jul-20,"149,500",3,2,"1,113",TRUE,0.26 a,101
2305 N Vagedes Ave,93705,Jul-20,"317,000",5,5,"2,798",TRUE,"8,001",40
4833 N Harrison Ave,93704,Jul-20,"430,000",3,3,"1,877",TRUE,0.87 a,2021
1442 E Via Dorata Way,93730,Jul-20,"374,500",3,2.5,"1,641",TRUE,"2,352",2021
2861 N Douglas Ave,93727,Jul-20,"378,500",3,2,"2,032",TRUE,-1,0
1404 E Quincy Ave,93720,Jul-20,"232,000",4,3,"2,261",TRUE,"6,795",29
5700 N Flora Ave,93710,Jul-20,"335,000",4,2.5,"1,992",TRUE,"10,358",52
2987 E Holland Ave,93726,Jul-20,"265,000",3,1.75,"1,308",TRUE,"6,499",64
2946 E Indianapolis Ave,93726,Jul-20,"230,000",3,1.75,"1,248",TRUE,"6,699",62
6702 N Dolores Ave,93711,Jul-20,"538,000",4,2,"2,795",TRUE,0.46 a,34
1234 N Fruit Ave,93728,Jul-20,"222,000",3,1.75,"1,333",TRUE,"6,098",70
2954 E Brandon Ln,93720,Jul-20,"445,000",3,2,"1,914",TRUE,"8,276",18
134 E Princeton Ave,93704,Jul-20,"415,000",3,2,"1,853",TRUE,"7,697",74
4068 N Babigian Ave,93722,Jul-20,"240,000",3,1.75,"1,430",TRUE,"7,000",38
239 E Portland Ave,93720,Jul-20,"345,000",4,2,"1,726",TRUE,"6,538",40
7374 W San Madele Ave,93723,Jul-20,"355,000",4,1.75,"2,223",TRUE,"6,185",8
1389 W Northridge Ave,93711,Jul-20,"365,000",3,2,"1,750",TRUE,"9,918",43
2498 N Antioch Ave,93722,Jul-20,"325,500",4,3,"2,257",TRUE,"6,499",7
945 N Roosevelt Ave,93728,Jul-20,"257,000",3,2.75,"1,589",TRUE,"5,998",99
3743 W Alluvial Ave,93711,Jul-20,"565,000",4,3,"3,521",TRUE,0.37 a,39
5960 E Truman Ave,93727,Jul-20,"380,890",5,4,"3,167",TRUE,-1,2021
2844 E Brown Ave,93703,Jul-20,"223,000",2,1.5,"1,870",TRUE,"8,102",68
2144 Norris Dr E,93703,Jul-20,"193,000",3,1,996,TRUE,"7,705",72
4032 Maywood Dr S,93703,Jul-20,"201,000",2,1,"1,074",TRUE,"7,801",70
2168 E Manning Ave,93725,Jul-20,-1,2,0.75,"1,248",TRUE,-1,102
1250 E Shaw Ave #115,93710,Jul-20,"150,000",2,1,"1,096",TRUE,"1,711",2021
2458 W San Gabriel Ave,93705,Jul-20,"250,000",3,1.75,"1,450",TRUE,"5,998",45
114 E Cambridge Ave,93704,Jul-20,"294,000",3,1.5,"1,460",TRUE,"7,562",79
3722 E Alta Ave,93702,Jul-20,"175,000",3,1,842,TRUE,"5,357",94
4211 E Lowe Ave,93702,Jul-20,"121,000",2,1,908,TRUE,"7,308",79
2582 S Lotus Ave,93706,Jul-20,"135,500",3,1.5,"1,272",TRUE,"8,276",70
4768 E Lamona Ave,93703,Jul-20,"218,000",3,2,"1,248",TRUE,"7,156",24
655 E Beverly Way,93704,Jul-20,"341,000",3,2,"1,581",TRUE,"7,405",72
5561 N Prospect Ave,93711,Jul-20,"327,500",3,2,"1,671",TRUE,"9,234",44
327 E Audubon Dr,93720,Jul-20,"599,000",4,3,"3,342",TRUE,0.33 a,36
4919 N Millbrook Ave #125,93726,Jul-20,"130,000",2,2.5,"1,275",TRUE,892,2021
1140 E Fairmont Ave,93704,Jul-20,"344,000",4,2,"1,634",TRUE,0.36 a,70
5570 E Eugenia Ave,93727,Jul-20,"314,000",5,2,"1,773",TRUE,"6,059",4
6101 E Illinois Ave,93727,Jul-20,"295,000",4,3,"1,775",TRUE,"6,050",31
5920 W Bedford Ave,93722,Jul-20,"413,000",5,2.75,"2,674",TRUE,"7,700",19
6303 E Cortland Ave,93727,Jul-20,"360,000",4,2,"2,016",TRUE,"9,583",9
6487 N Arthur Ave,93711,Jul-20,"320,000",3,2,"1,649",TRUE,"8,925",32
2793 W Locust Ave,93711,Jul-20,"515,000",4,3,"2,644",TRUE,0.36 a,46
5490 N Bond St,93710,Jul-20,"305,000",4,2.5,"1,775",TRUE,"8,398",57
3360 W Morris Ave,93711,Jul-20,"270,000",3,2,"1,206",TRUE,"7,000",44
34 E Robinson Ave,93704,Jul-20,"205,000",2,1,"1,138",TRUE,"7,840",68
4327 N Ellendale Ave,93722,Jul-20,"200,000",3,2,"1,155",TRUE,"3,998",35
5126 W Los Altos Ave,93722,Jul-20,"263,000",3,2,"1,460",TRUE,"6,098",30
1383 W Ellery Way,93711,Jul-20,"450,000",5,3,"2,896",TRUE,0.30 a,54
419 E Hampton Way,93704,Jul-20,"427,000",3,2,"2,441",TRUE,0.37 a,2021
1323 W San Madele Ave,93711,Jul-20,"480,000",4,4,"2,984",TRUE,0.31 a,63
6719 N Alva Ave,93711,Jul-20,"425,000",4,2.5,"2,450",TRUE,0.30 a,40
4750 N Harrison Ave,93704,Jul-20,"355,000",3,2,"1,362",TRUE,"9,583",72
2671 N Dante Ave,93722,Jul-20,"310,000",4,2,"2,149",TRUE,"6,538",13
2156 S Villa Ave,93727,Jul-20,"315,000",5,3.5,"2,282",TRUE,"5,998",13
309 W Bullard Ave #102,93704,Jul-20,"220,000",3,2,"1,587",TRUE,"2,561",2021
5481 W Corona Ave,93722,Jul-20,"250,000",3,1.75,"1,460",TRUE,"6,943",31
2842 E Warner Ave,93710,Jul-20,"335,000",3,1.75,"1,901",TRUE,"7,840",45
7438 W San Madele Ave,93723,Jul-20,"340,000",4,2,"1,877",TRUE,"6,098",8
1255 N Adler Ave,93727,Jul-20,"187,000",3,2,"1,246",TRUE,"9,583",65
5662 W Minarets Ave,93722,Jul-20,"255,000",3,2,"1,492",TRUE,"6,198",24
3586 W Church Ave,93706,Jul-20,"355,000",3,1,"1,360",TRUE,4.84 a,63
5877 E Alta Ave,93727,Jul-20,"330,000",4,3,"3,022",TRUE,0.35 a,61
5401 W Fairmont Ave,93722,Jul-20,-1,3,1.25,"1,112",TRUE,-1,59
1306 N Bailey Ave,93727,Jul-20,"130,000",3,1.75,"1,104",TRUE,"6,272",59
5769 W Richert Ave,93722,Jul-20,"283,000",3,2.5,"1,380",TRUE,"7,405",11
6123 W Dupont Dr,93722,Jul-20,"280,000",3,2.5,"1,560",TRUE,"2,874",2021
2847 E Granada Ave,93720,Jul-20,"380,000",3,2,"2,040",TRUE,"6,534",17
5925 W Cromwell Ave,93722,Jul-20,"422,000",3,2.75,"2,674",TRUE,"5,998",19
6265 N Malsbary Ave,93711,Jul-20,"260,000",3,2,"1,110",TRUE,"9,265",26
493 W Stuart Ave,93704,Jul-20,"332,500",3,1.75,"1,892",TRUE,0.28 a,56
1149 W Santa Ana Ave,93705,Jul-20,"349,000",3,2,"1,652",TRUE,0.34 a,70
3026 N Marty Ave,93722,Jul-20,"165,000",3,2,"1,192",TRUE,"5,505",32
6176 N Carica Ave,93722,Jul-20,"230,000",3,1.75,"1,460",TRUE,"6,599",31
6949 E Michigan Ave,93727,Jul-20,"369,000",4,3,"2,000",TRUE,"8,276",13
3872 N Briarwood Ave,93705,Jul-20,"208,000",3,1.75,"1,228",TRUE,"6,263",56
2124 E El Paso Ave,93720,Jul-20,"320,000",4,2,"1,665",TRUE,"6,538",32
201 N Filbert Ave,93727,Jul-20,"295,000",4,2,"1,700",TRUE,"5,998",20
1364 N Poplar Ave,93728,Jul-20,"240,000",3,1.5,"1,110",TRUE,"6,185",82
1253 N Glenn Ave,93728,Jul-20,"257,000",3,2,"1,290",TRUE,"6,969",95
8824 N Fuller Ave,93720,Jul-20,"675,000",5,2.5,"3,403",TRUE,0.46 a,41
7775 W Herndon Ave,93723,Jul-20,"400,000",4,2.5,"4,704",TRUE,2.17 a,41
3271 W Clinton Ave,93722,Jul-20,"456,000",10,8,"3,689",TRUE,"10,890",28
7239 E Vassar Ave,93737,Jul-20,"370,000",4,2,"2,010",TRUE,"7,000",2
5402 W Donner Ave,93722,Jul-20,"290,000",3,2,"1,875",TRUE,"8,681",14
9545 N 10th St,93720,Jul-20,-1,3,1.75,"1,298",TRUE,-1,30
7775 W Herndon Ave,93723,Jul-20,"400,000",4,2.5,"4,704",TRUE,2.17 a,41
719 E Beverly Way,93704,Jul-20,"330,000",4,1.5,"1,348",TRUE,"7,601",73
8824 N Fuller Ave,93720,Jul-20,"675,000",5,2.5,"3,403",TRUE,0.46 a,41
9916 N Meridian Ave,93720,Jul-20,"285,000",3,2,"1,304",TRUE,"5,488",21
6139 E Nevada Ave,93727,Jul-20,"280,000",3,2,"1,652",TRUE,"9,975",31
8665 N Cedar Ave #119,93720,Jul-20,"310,000",3,2.5,"1,414",TRUE,0.37 a,2021
5973 E Via Firenza Dr,93727,Jul-20,"342,500",4,3,"2,347",TRUE,"4,499",2021
2839 W Fairmont Ave #204,93705,Jul-20,"67,000",2,1,840,TRUE,800,2021
4727 W Gibson Ave,93722,Jul-20,-1,3,2,"1,119",TRUE,-1,23
6110 S Fig Ave,93706,Jul-20,"265,000",3,1.75,"1,867",TRUE,2.46 a,40
3256 E Michigan Ave,93703,Jul-20,"210,000",3,1,"1,013",TRUE,"6,499",66
2907 E Floradora Ave,93703,Jul-20,"76,000",2,1,780,TRUE,"5,998",77
1234 E Cromwell Ave,93720,Jul-20,-1,4,1.75,"2,204",TRUE,-1,33
4620 N Emerson Ave,93722,Jul-20,"249,000",3,2,"1,296",TRUE,0.31 a,49
1886 E Portland Ave,93720,Jul-20,-1,4,2.25,"1,827",TRUE,-1,31
1238 W Gettysburg Ave,93705,Jul-20,"210,000",2,1,"1,108",TRUE,0.36 a,69
1992 W Pico Ave,93705,Jul-20,"152,500",3,1.75,"1,200",TRUE,"6,577",46
1180 W Los Altos Ave,93711,Jul-20,"386,000",3,1.75,"2,070",TRUE,"8,023",34
7394 N Hayes Ave,93722,Jul-20,"299,000",3,2,"1,735",TRUE,"6,098",26
1066 E Royal Dornoch Ave,93730,Jul-20,"400,000",3,2,"1,703",TRUE,"6,499",16
4014 N Benedict Ave,93722,Jul-20,"450,000",8,6,"3,824",TRUE,0.27 a,35
3927 E Kerckhoff Ave,93702,Jul-20,"235,000",3,1.5,"1,316",TRUE,"8,001",92
836 E Ridgecrest Dr,93730,Jul-20,"630,000",4,3,"3,171",TRUE,"10,350",2021
2551 N Hanover Ave,93722,Jul-20,"225,000",4,2,"1,510",TRUE,"3,998",32
5188 E Liberty Ave,93727,Jul-20,"259,000",3,2,"1,812",TRUE,"6,599",14
819 N Ferger Ave,93728,Jul-20,"235,000",4,1,"1,544",TRUE,"7,500",93
1639 N Arthur Ave,93705,Jul-20,"315,000",3,2,"1,734",TRUE,"7,618",88
9572 N 10th St,93720,Jul-20,"325,000",3,2,"1,484",TRUE,"5,536",30
2055 W Fremont Ave,93711,Jul-20,"341,000",3,2,"1,922",TRUE,"6,969",40
7722 N Spalding Ave,93720,Jul-20,"339,000",4,2.5,"1,600",TRUE,"7,797",33
2303 E Robinson Ave,93726,Jul-20,"189,000",3,2,"1,240",TRUE,"7,348",66
6679 N Bain Ave,93722,Jul-20,"350,000",4,3,"2,505",TRUE,"7,670",14
405 W Teague Ave,93711,Jul-20,"300,000",3,1.75,"1,296",TRUE,"6,534",37
5629 W Fir Ave,93722,Jul-20,"325,000",3,2,"1,584",TRUE,"6,011",28
450 S Argyle Ave #106,93727,Jul-20,"150,000",3,2,"1,127",TRUE,"1,559",2021
2908 E Joaquin Pl,93726,Jul-20,"375,000",5,3,"2,695",TRUE,0.33 a,50
719 E Minarets Ave,93720,Jul-20,"380,000",4,2.5,"2,360",TRUE,"8,446",45
5816 W Everett Ave,93722,Jul-20,"335,000",4,2,"1,809",TRUE,-1,2021
526 N Farris Ave,93728,Jul-20,"150,000",6,2,"2,706",TRUE,-1,2021
4026 N Manila Ave,93727,Jul-20,"275,000",3,1.75,"1,491",TRUE,-1,2021
4381 N Cleo Ave,93722,Jul-20,"220,000",3,2,"1,155",TRUE,-1,2021
6624 N Angus St,93710,Jul-20,-1,3,1.75,"1,834",TRUE,-1,2021
752 E Saginaw Way,93704,Jul-20,"249,000",3,2,"1,166",TRUE,-1,2021
4691 N Windward Way,93619,Sep-20,"480,000",3,2,"2,156",TRUE,"9,679",17
